experiment_id,hypothesis_is_appropriate,hypothesis_is_feasible,verification_code_or_code_updated_is_appropriate,verification_code_is_executable,verification_code_contains_openai_error,no_plaece_holder,package_install_is_executable,verification_code_updated_is_executable,verification_code_updated_contains_api_error,api_error_only,appropriate & executable,appropriate & executable & package,appropriate & api_only,total_evaluation
2023-09-07_15-04-15/,1,1,0,0,1,0,1,0,1,0,0,0,0,0
2023-09-07_15-08-41/,1,1,1,0,1,1,0,0,1,0,0,0,0,0
2023-09-07_15-13-24/,1,1,0,0,1,1,1,0,1,1,0,0,0,0
2023-09-07_15-17-38/,1,1,1,0,1,1,0,1,0,0,1,0,0,0
2023-09-07_15-33-52/,1,1,0,1,0,1,1,0,0,0,0,0,0,0
2023-09-07_15-37-57/,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-07_15-43-45/,1,1,1,0,1,1,0,0,0,0,0,0,0,0
2023-09-07_15-48-42/,1,1,0,1,0,1,1,0,0,0,0,0,0,0
2023-09-07_15-52-47/,1,1,1,0,1,1,1,0,1,1,0,0,1,0
2023-09-07_15-57-51/,1,1,1,1,0,0,1,0,0,0,1,1,0,1
2023-09-07_16-16-40/,1,1,0,0,1,1,0,0,1,1,0,0,0,0
2023-09-07_16-21-44/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-07_16-26-47/,1,1,0,0,1,0,1,1,0,0,0,0,0,0
2023-09-07_16-31-37/,1,1,1,0,1,0,1,1,0,0,1,1,0,1
2023-09-07_16-36-16/,1,1,1,0,1,1,1,0,1,0,0,0,0,0
2023-09-07_16-41-46/,1,1,1,1,0,1,0,0,0,0,1,0,0,0
2023-09-07_16-45-53/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-07_17-19-13/,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-07_17-31-22/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-07_17-36-28/,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-07_17-43-36/,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-07_17-48-15/,1,1,0,0,0,1,1,0,1,1,0,0,0,0
2023-09-07_17-53-43/,1,1,0,0,1,1,1,0,1,1,0,0,0,0
2023-09-07_17-58-44/,1,1,1,0,1,0,1,1,0,0,1,1,0,1
2023-09-07_18-03-56/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-07_18-08-48/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-07_18-13-53/,1,1,1,1,0,1,0,0,0,0,1,0,0,0
2023-09-07_18-19-32/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-07_18-24-03/,1,1,1,0,0,0,1,0,1,0,0,0,0,0
2023-09-07_18-28-53/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-08_10-26-23/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-08_10-30-12/,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2023-09-08_10-34-24/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-08_10-37-27/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-08_10-40-12/,1,1,0,1,0,0,1,0,0,0,0,0,0,0
2023-09-08_10-42-52/,1,1,1,0,1,1,1,0,1,1,0,0,1,0
2023-09-08_10-46-19/,1,1,1,0,1,1,1,1,0,0,1,1,0,1
2023-09-08_10-57-56/,1,1,1,0,1,1,1,0,0,0,0,0,0,0
2023-09-08_11-01-55/,1,1,1,0,1,0,1,1,0,0,1,1,0,1
2023-09-08_11-07-36/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-08_11-12-36/,1,1,1,0,1,1,0,1,0,0,1,0,0,0
2023-09-08_11-17-46/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-08_11-21-59/,1,1,0,0,1,1,1,1,0,0,0,0,0,0
2023-09-08_11-25-39/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-08_11-29-19/,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-09-08_11-33-19/,1,1,0,1,0,1,0,0,0,0,0,0,0,0
2023-09-08_11-36-40/,1,1,0,0,1,0,1,0,1,1,0,0,0,0
2023-09-08_11-40-29/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-08_11-43-39/,1,1,1,1,0,1,1,0,0,0,1,1,0,1
2023-09-08_12-16-02/,1,1,0,0,1,0,1,0,0,0,0,0,0,0
